,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'LEMONADE SCHNAPPS'}),frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265
1,frozenset({'PRIVATE LABEL TEQUILA'}),frozenset({'MISC. IMPORTED CORDIALS & LIQUEURS'}),0.0018436578171091445,0.12278761061946902,0.0014749262536873156,0.8,6.515315315315316,1.0,0.0012485479155245778,4.3860619469026565,0.8480790543036573,0.011976047904191617,0.7720050441361918,0.406006006006006
2,frozenset({'PRIVATE LABEL BOURBON'}),frozenset({'SINGLE MALT SCOTCH'}),0.0014749262536873156,0.1084070796460177,0.0011061946902654867,0.75,6.918367346938775,1.0,0.0009463022424100034,3.566371681415929,0.8567208271787298,0.01016949152542373,0.7196029776674938,0.38010204081632654
3,"frozenset({'BLENDED WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'AMERICAN COCKTAILS'}),0.0018436578171091445,0.11946902654867257,0.0014749262536873156,0.8,6.696296296296296,1.0,0.0012546662489884355,4.402654867256638,0.8522349464351681,0.012307692307692306,0.7728643216080403,0.4061728395061729
4,"frozenset({'SINGLE BARREL BOURBON WHISKIES', 'IRISH WHISKIES'})",frozenset({'AMERICAN COCKTAILS'}),0.0014749262536873156,0.11946902654867257,0.0014749262536873156,1.0,8.37037037037037,1.0,0.0012987182499282115,inf,0.8818316100443131,0.012345679012345677,1.0,0.5061728395061729
5,"frozenset({'SINGLE BARREL BOURBON WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'IRISH WHISKIES'}),0.0014749262536873156,0.02654867256637168,0.0014749262536873156,1.0,37.666666666666664,1.0,0.0014357689195186258,inf,0.9748892171344165,0.05555555555555555,1.0,0.5277777777777778
6,"frozenset({'MISC. IMPORTED CORDIALS & LIQUEURS', 'WHISKEY LIQUEUR'})",frozenset({'AMERICAN COCKTAILS'}),0.0029498525073746312,0.11946902654867257,0.0022123893805309734,0.75,6.277777777777778,1.0,0.0018599733730127652,3.52212389380531,0.8431952662721894,0.01840490797546012,0.7160804020100503,0.38425925925925924
7,"frozenset({'PUERTO RICO & VIRGIN ISLANDS RUM', 'WHISKEY LIQUEUR'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297
8,"frozenset({'BLENDED WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'CANADIAN WHISKIES'}),0.0018436578171091445,0.0612094395280236,0.0014749262536873156,0.8,13.06987951807229,1.0,0.0013620769920206055,4.693952802359883,0.9251939416328039,0.02395209580838323,0.7869599371563237,0.41204819277108434
9,"frozenset({'BLENDED WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0018436578171091445,0.08775811209439528,0.0014749262536873156,0.8,9.115966386554621,1.0,0.0013131303243097431,4.5612094395280245,0.8919468045807166,0.016736401673640166,0.7807599029911075,0.40840336134453786
10,"frozenset({'COFFEE LIQUEURS', 'AMERICAN DRY GINS'})",frozenset({'VODKA FLAVORED'}),0.0014749262536873156,0.1544985250737463,0.0011061946902654867,0.75,4.854415274463007,1.0,0.0008783207594782503,3.382005899705015,0.7951747907434762,0.0071428571428571435,0.7043174880069778,0.3785799522673031
11,"frozenset({'COFFEE LIQUEURS', 'VODKA FLAVORED'})",frozenset({'AMERICAN DRY GINS'}),0.0014749262536873156,0.0357669616519174,0.0011061946902654867,0.75,20.969072164948454,1.0,0.0010534410595104463,3.8569321533923304,0.9537173806006893,0.030612244897959186,0.7407265774378585,0.3904639175257732
12,"frozenset({'CREAM LIQUEURS', 'AMERICAN DRY GINS'})",frozenset({'VODKA FLAVORED'}),0.0014749262536873156,0.1544985250737463,0.0011061946902654867,0.75,4.854415274463007,1.0,0.0008783207594782503,3.382005899705015,0.7951747907434762,0.0071428571428571435,0.7043174880069778,0.3785799522673031
13,"frozenset({'generico', 'AMERICAN DRY GINS'})",frozenset({'IMPORTED ALE'}),0.0014749262536873156,0.09402654867256637,0.0011061946902654867,0.75,7.976470588235295,1.0,0.0009675124650847103,3.6238938053097347,0.8759231905465288,0.01171875,0.724053724053724,0.38088235294117645
14,"frozenset({'IMPORTED VODKA - MISC', 'AMERICAN DRY GINS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0014749262536873156,0.08775811209439528,0.0011061946902654867,0.75,8.546218487394958,1.0,0.0009767579467634287,3.6489675516224187,0.8842934515017232,0.012552301255230124,0.7259498787388844,0.38130252100840334
15,"frozenset({'IMPORTED VODKA - MISC', 'AMERICAN DRY GINS'})",frozenset({'VODKA FLAVORED'}),0.0014749262536873156,0.1544985250737463,0.0011061946902654867,0.75,4.854415274463007,1.0,0.0008783207594782503,3.382005899705015,0.7951747907434762,0.0071428571428571435,0.7043174880069778,0.3785799522673031
16,"frozenset({'MISC. IMPORTED CORDIALS & LIQUEURS', 'PRIVATE LABEL TEQUILA'})",frozenset({'AMERICAN DRY GINS'}),0.0014749262536873156,0.0357669616519174,0.0011061946902654867,0.75,20.969072164948454,1.0,0.0010534410595104463,3.8569321533923304,0.9537173806006893,0.030612244897959186,0.7407265774378585,0.3904639175257732
17,"frozenset({'PRIVATE LABEL TEQUILA', 'AMERICAN DRY GINS'})",frozenset({'MISC. IMPORTED CORDIALS & LIQUEURS'}),0.0011061946902654867,0.12278761061946902,0.0011061946902654867,1.0,8.144144144144144,1.0,0.000970367687367844,inf,0.8781838316722038,0.009009009009009009,1.0,0.5045045045045045
18,"frozenset({'CANADIAN WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'BLENDED WHISKIES'}),0.0014749262536873156,0.029129793510324485,0.0011061946902654867,0.75,25.746835443037973,1.0,0.0010632303930526187,3.883480825958702,0.9625800098473659,0.0375,0.7424990505127231,0.3939873417721519
19,"frozenset({'BLENDED WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'CANADIAN WHISKIES'}),0.0011061946902654867,0.0612094395280236,0.0011061946902654867,1.0,16.337349397590362,1.0,0.0010384851332654605,inf,0.939830195644149,0.018072289156626505,1.0,0.5090361445783133
20,"frozenset({'SINGLE MALT SCOTCH', 'COFFEE LIQUEURS'})",frozenset({'BLENDED WHISKIES'}),0.0014749262536873156,0.029129793510324485,0.0011061946902654867,0.75,25.746835443037973,1.0,0.0010632303930526187,3.883480825958702,0.9625800098473659,0.0375,0.7424990505127231,0.3939873417721519
21,"frozenset({'BLENDED WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265
22,"frozenset({'BLENDED WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'VODKA FLAVORED'}),0.0011061946902654867,0.1544985250737463,0.0011061946902654867,1.0,6.47255369928401,1.0,0.0009352892421750594,inf,0.8464377999261721,0.007159904534606206,1.0,0.5035799522673031
23,"frozenset({'COFFEE LIQUEURS', 'VODKA FLAVORED'})",frozenset({'BLENDED WHISKIES'}),0.0014749262536873156,0.029129793510324485,0.0011061946902654867,0.75,25.746835443037973,1.0,0.0010632303930526187,3.883480825958702,0.9625800098473659,0.0375,0.7424990505127231,0.3939873417721519
